棋盘格姿态,末端json文件,角点索引,相机坐标系X(mm),相机坐标系Y(mm),相机坐标系Z(mm),实际X(mm),实际Y(mm),实际Z(mm),计算X(mm),计算Y(mm),计算Z(mm),实际与计算误差(mm)
chessboard_pose_1,robot_status_2025-11-03_23-26-38.json,12,-19.846000,104.271000,720.003000,-9.645000,439.544000,-66.182000,-3.733122,433.764195,-66.406463,8.270842
chessboard_pose_1,robot_status_2025-11-03_23-28-45.json,77,46.993000,42.103000,720.003000,54.097000,505.228000,-66.184000,55.237298,503.440600,-66.393792,2.130514
chessboard_pose_1,robot_status_2025-11-03_23-31-18.json,49,-40.025000,32.065000,720.003000,-34.142000,510.935000,-66.190000,-32.354251,503.055220,-65.711271,8.094205
chessboard_pose_1,robot_status_2025-11-03_23-32-46.json,87,-72.233000,-49.619000,720.003000,-70.339000,590.861000,-66.193000,-74.045681,580.325721,-64.859567,11.247650
chessboard_pose_1,robot_status_2025-11-03_23-35-14.json,10,-136.396000,33.930000,720.003000,-129.156000,504.080000,-66.198000,-127.816784,489.738989,-65.055139,14.448676
chessboard_pose_2,robot_status_2025-11-03_23-45-11.json,77,23.616000,-49.614000,720.003000,23.046000,595.489000,-66.188000,21.120931,591.723178,-65.526436,4.280768
chessboard_pose_2,robot_status_2025-11-03_23-47-54.json,20,158.018000,-140.304000,720.003000,152.940000,693.542000,-65.454000,143.781413,697.755829,-65.764654,10.086257
chessboard_pose_2,robot_status_2025-11-03_23-49-25.json,0,23.096000,-154.684000,720.003000,16.631000,700.641000,-65.456000,8.110908,695.982743,-64.715499,9.738566
chessboard_pose_2,robot_status_2025-11-03_23-51-39.json,38,98.204000,-109.966000,720.003000,94.275000,659.676000,-65.460000,88.001074,660.518360,-65.581629,6.331391
chessboard_pose_2,robot_status_2025-11-03_23-53-12.json,87,173.124000,-50.408000,720.003000,172.711000,603.986000,-65.463000,169.469183,610.297341,-66.560476,7.179614
chessboard_pose_3,robot_status_2025-11-04_00-01-56.json,56,-211.272000,-39.367000,720.003000,-229.010000,450.879000,-62.844000,-210.874893,553.606358,-63.971032,104.321918
chessboard_pose_3,robot_status_2025-11-04_00-04-04.json,77,-242.004000,-53.602000,720.003000,-240.412000,585.493000,-62.848000,-243.080573,564.083990,-63.647851,21.589505
chessboard_pose_3,robot_status_2025-11-04_00-06-46.json,0,-136.378000,-56.423000,720.003000,-135.600000,593.880000,-64.845000,-138.542663,579.450407,-64.361025,14.734539
chessboard_pose_3,robot_status_2025-11-04_00-10-17.json,38,-179.186000,19.802000,720.003000,-174.628000,515.581000,-64.119000,-171.981821,498.675935,-64.648891,17.119120
chessboard_pose_3,robot_status_2025-11-04_00-13-44.json,10,-131.788000,93.157000,720.003000,-123.676000,444.086000,-65.122000,-116.199018,431.482132,-65.542276,14.660811
