棋盘格姿态,末端json文件,角点索引,相机坐标系X(mm),相机坐标系Y(mm),相机坐标系Z(mm),实际X(mm),实际Y(mm),实际Z(mm),计算X(mm),计算Y(mm),计算Z(mm),实际与计算误差(mm)
chessboard_pose_1,robot_status_2025-11-03_23-26-38.json,12,-19.846000,104.271000,720.003000,-9.645000,439.544000,-66.182000,-10.368626,439.579402,-66.086920,0.730704
chessboard_pose_1,robot_status_2025-11-03_23-28-45.json,77,46.993000,42.103000,720.003000,54.097000,505.228000,-66.184000,52.823469,505.450949,-65.983160,1.308406
chessboard_pose_1,robot_status_2025-11-03_23-31-18.json,49,-40.025000,32.065000,720.003000,-34.142000,510.935000,-66.190000,-34.624745,510.519445,-65.864504,0.715315
chessboard_pose_1,robot_status_2025-11-03_23-32-46.json,87,-72.233000,-49.619000,720.003000,-70.339000,590.861000,-66.193000,-71.429827,590.237378,-65.603122,1.388079
chessboard_pose_1,robot_status_2025-11-03_23-35-14.json,10,-136.396000,33.930000,720.003000,-129.156000,504.080000,-66.198000,-130.733290,503.171899,-65.769304,1.869832
chessboard_pose_2,robot_status_2025-11-03_23-45-11.json,77,23.616000,-49.614000,720.003000,23.046000,595.489000,-66.188000,24.264002,595.688250,-65.702994,1.326069
chessboard_pose_2,robot_status_2025-11-03_23-47-54.json,20,158.018000,-140.304000,720.003000,152.940000,693.542000,-65.454000,153.286091,693.881231,-65.590072,0.503361
chessboard_pose_2,robot_status_2025-11-03_23-49-25.json,0,23.096000,-154.684000,720.003000,16.631000,700.641000,-65.456000,17.764433,700.557906,-65.409398,1.137430
chessboard_pose_2,robot_status_2025-11-03_23-51-39.json,38,98.204000,-109.966000,720.003000,94.275000,659.676000,-65.460000,95.295892,660.187832,-65.612372,1.152133
chessboard_pose_2,robot_status_2025-11-03_23-53-12.json,87,173.124000,-50.408000,720.003000,172.711000,603.986000,-65.463000,173.484324,604.991173,-65.856542,1.327885
chessboard_pose_3,robot_status_2025-11-04_00-06-46.json,0,-136.378000,-56.423000,720.003000,-135.600000,593.880000,-64.845000,-135.858064,593.379094,-65.517316,0.877219
chessboard_pose_3,robot_status_2025-11-04_00-13-44.json,10,-131.788000,93.157000,720.003000,-123.676000,444.086000,-65.122000,-122.761659,444.303440,-65.939297,1.245501
