角点序号,RGB像素坐标U,RGB像素坐标V,Depth像素坐标U,Depth像素坐标V,Depth值(mm)
0,147.36,197.14,147.36,197.14,445.00
1,169.39,198.31,169.39,198.31,449.00
2,190.97,199.46,190.97,199.46,454.75
3,212.00,200.55,212.00,200.55,459.25
4,232.63,201.61,232.63,201.61,464.75
5,252.86,202.66,252.86,202.66,470.00
6,272.71,203.64,272.71,203.64,474.75
7,292.23,204.66,292.23,204.66,479.25
8,311.20,205.63,311.20,205.63,484.00
9,329.71,206.62,329.71,206.62,489.00
10,348.02,207.57,348.02,207.57,493.50
11,146.83,218.11,146.83,218.11,446.75
12,168.81,218.87,168.81,218.87,451.75
13,190.41,219.90,190.41,219.90,456.75
14,211.40,220.83,211.40,220.83,461.25
15,231.88,221.61,231.88,221.61,467.00
16,252.06,222.46,252.06,222.46,471.50
17,271.83,223.37,271.83,223.37,475.50
18,291.24,224.21,291.24,224.21,481.00
19,310.18,224.81,310.18,224.81,486.00
20,328.63,225.58,328.63,225.58,490.75
21,346.81,226.44,346.81,226.44,495.50
22,146.45,238.81,146.45,238.81,448.00
23,168.28,239.51,168.28,239.51,453.25
24,189.61,240.32,189.61,240.32,459.00
25,210.61,240.78,210.61,240.78,463.00
26,231.27,241.49,231.27,241.49,468.00
27,251.20,242.25,251.20,242.25,473.50
28,270.99,242.64,270.99,242.64,478.25
29,290.28,243.42,290.28,243.42,483.00
30,309.12,243.89,309.12,243.89,488.25
31,327.56,244.52,327.56,244.52,492.75
32,345.69,245.15,345.69,245.15,497.25
33,145.88,259.40,145.88,259.40,450.00
34,167.78,259.98,167.78,259.98,455.50
35,189.24,260.32,189.24,260.32,460.25
36,209.92,260.73,209.92,260.73,465.25
37,230.42,261.21,230.42,261.21,469.75
38,250.44,261.57,250.44,261.57,475.00
39,270.14,262.01,270.14,262.01,479.25
40,289.32,262.50,289.32,262.50,485.00
41,308.12,262.77,308.12,262.77,489.50
42,326.51,263.34,326.51,263.34,494.50
43,344.56,263.57,344.56,263.57,499.25
44,145.58,279.89,145.58,279.89,452.75
45,167.40,279.97,167.40,279.97,457.00
46,188.50,280.42,188.50,280.42,462.50
47,209.39,280.51,209.39,280.51,466.75
48,229.66,280.79,229.66,280.79,472.50
49,249.62,280.89,249.62,280.89,476.00
50,269.21,281.18,269.21,281.18,482.00
51,288.35,281.45,288.35,281.45,486.00
52,307.10,281.56,307.10,281.56,492.00
53,325.45,281.71,325.45,281.71,496.25
54,343.46,282.00,343.46,282.00,501.50
55,145.21,299.98,145.21,299.98,453.75
56,166.77,300.17,166.77,300.17,459.75
57,187.82,300.18,187.82,300.18,464.75
58,208.67,300.07,208.67,300.07,469.00
59,228.94,300.27,228.94,300.27,474.00
60,248.70,300.28,248.70,300.28,478.50
61,268.23,300.21,268.23,300.21,484.00
62,287.39,300.19,287.39,300.19,488.25
63,306.13,300.24,306.13,300.24,493.00
64,324.40,300.29,324.40,300.29,498.25
65,342.36,300.30,342.36,300.30,502.75
66,144.65,320.05,144.65,320.05,456.25
67,166.30,319.98,166.30,319.98,460.50
68,187.43,319.77,187.43,319.77,466.50
69,207.86,319.52,207.86,319.52,470.50
70,228.22,319.39,228.22,319.39,475.25
71,248.07,319.24,248.07,319.24,480.50
72,267.40,319.16,267.40,319.16,485.75
73,286.38,319.01,286.38,319.01,490.50
74,305.14,318.75,305.14,318.75,495.75
75,323.36,318.57,323.36,318.57,500.50
76,341.24,318.41,341.24,318.41,505.25
77,144.30,340.19,144.30,340.19,457.75
78,165.79,339.54,165.79,339.54,463.00
79,186.80,339.24,186.80,339.24,467.75
80,207.33,338.89,207.33,338.89,472.75
81,227.42,338.54,227.42,338.54,476.75
82,247.20,338.23,247.20,338.23,482.75
83,266.55,337.80,266.55,337.80,487.50
84,285.46,337.43,285.46,337.43,492.75
85,304.17,337.03,304.17,337.03,497.00
86,322.32,336.63,322.32,336.63,502.25
87,340.10,336.48,340.10,336.48,506.25
