Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pedestal_Link,0.0024005,-0.14873,-0.0020194,0,0,0,180.93,10.702,6.7618E-17,3.0187E-14,41.01,1.466E-07,32.457,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/pedestal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/pedestal_Link.STL,,立支架组合-1/KFJ-0301 工具支架-1;立支架组合-1/ABC02-4010-45-30 角座-1;立支架组合-1/ABC02-4010-45-30 角座-2;立支架组合-1/临时垫块-2;立支架组合-1/临时垫块-1;工具支架组合2-1/末端支架2-1;工具支架组合-1/末端支架-1;立支架组合-1/ABC02-4010-45-30 角座-3;立支架组合-1/临时垫块-3;立支架组合-1/临时垫块-4;立支架组合-1/ABC02-4010-45-30 角座-4;800X1500X850光学桌-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_Link,3.4413E-09,-0.0027307,0.0029024,0,0,0,5.9908,0.0109,-1.9752E-08,3.3745E-10,0.0095852,-0.00015865,0.018662,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/base_Link.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/base_Link.STL,,audo-i5机器人总装-1/i5-底座-1,Origin_base_joint,,base_joint,fixed,0.10483,0.10483,0.028,3.1416,0,0,pedestal_Link,0,0,0,,,,,,,,,,,,
cup0_Link,0.0459046653140415,0.0335578409178754,0.00298286778797363,0,0,0,1.42763211505643,0.00133864759857838,-0.000153798571779387,-3.31742934007893E-05,0.00208448111254178,-3.67284842420613E-05,0.0011896985575748,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/cup0_Link.STL,1,1,0,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/cup0_Link.STL,,杯托V3-1,Origin_cup0_joint,,cup0_joint,fixed,-0.4225,-0.0925,-0.012,1.5708,0,1.5708,pedestal_Link,0,0,0,,,,,,,,,,,,
lizhu_Link,0.012277,0.082104,1.7053E-05,0,0,0,0.86598,0.0014347,1.5778E-05,1.1895E-08,0.00066764,3.1238E-05,0.0012088,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/lizhu_Link.STL,1,1,0,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/lizhu_Link.STL,,杯旋转30度装置V2-1/立柱V2-1;杯旋转30度装置V2-1/转轴安装座-1;杯旋转30度装置V2-1/GB／T70．1-2000内六角圆柱头螺钉M5×12-1;杯旋转30度装置V2-1/转轴-1;杯旋转30度装置V2-1/纸杯托V2-1,Origin_lizhu_joint,,lizhu_joint,fixed,-0.525,-0.2625,0.006,1.5708,0,1.5708,pedestal_Link,0,0,0,,,,,,,,,,,,
coffee_Link,0.016170409423681,0.205992691527985,0.00200399944128038,0,0,0,91.2843777246585,0.898681796834742,0.00207481321022697,-0.107493401509849,1.0150394361257,0.0238026152276541,0.440905147303518,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/coffee_Link.STL,0.427450980392157,0.247058823529412,0.356862745098039,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/coffee_Link.STL,,viennaplus咖啡机.SLDPRT-1/咖啡机-1,Origin_coffee_joint,,coffee_joint,fixed,-0.53995,0.20318,0.016,1.5708,0,1.5708,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper0_Link,-5.4826737503344E-06,-2.17950690200031E-05,0.06071070700369,0,0,0,0.311641109890042,0.000111775131204717,-3.28432358739794E-06,1.76938667137765E-07,0.000133675743853643,1.68369841733159E-07,8.89425577652181E-05,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper0_Link.STL,,HFKL20手抓及快换盘组件-1/STW-X20DYF-快换盘副盘-1;HFKL20手抓及快换盘组件-1/手指气缸转接盘-1;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-6;HFKL20手抓及快换盘组件-1/弹簧垫圈4-6;HFKL20手抓及快换盘组件-1/弹簧垫圈4-4;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-4;HFKL20手抓及快换盘组件-1/普通平垫4-4;HFKL20手抓及快换盘组件-1/外购D20夹头-1;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-1;HFKL20手抓及快换盘组件-1/_HFKL20_body-1;HFKL20手抓及快换盘组件-1/弹簧垫圈4-1;HFKL20手抓及快换盘组件-1/普通平垫4-1;HFKL20手抓及快换盘组件-1/普通平垫4-6;HFKL20手抓及快换盘组件-1/_20(OP)_finger-2;HFKL20手抓及快换盘组件-1/六角螺栓M4X15-3;HFKL20手抓及快换盘组件-1/普通平垫4-3;HFKL20手抓及快换盘组件-1/弹簧垫圈4-3;HFKL20手抓及快换盘组件-1/外购D20夹头-2;HFKL20手抓及快换盘组件-1/_20(OP)_finger-3,gripper0joint,,gripper0_joint,fixed,-1.4372,-0.79997,0.14925,-0.68075,0.1968,-0.15706,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper1_Link,-6.9316E-06,-1.6295E-05,0.079175,0,0,0,0.39795,0.00017517,2.7641E-07,2.0128E-07,0.00020336,1.3849E-07,9.4703E-05,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1_Link.STL,,HFKL20手抓及快换盘组件2-7/M4x15组合-3/六角螺栓M4X15-1;HFKL20手抓及快换盘组件2-7/_20(OP)_finger-4;HFKL20手抓及快换盘组件2-7/半夹爪头V2-2;HFKL20手抓及快换盘组件2-7/手指气缸转接盘-1;HFKL20手抓及快换盘组件2-7/M4x15组合-1;HFKL20手抓及快换盘组件2-7/半夹爪头V2-1;HFKL20手抓及快换盘组件2-7/_HFKL20_body-1;HFKL20手抓及快换盘组件2-7/M4x15组合-2;HFKL20手抓及快换盘组件2-7/_20(OP)_finger-2;HFKL20手抓及快换盘组件2-7/STW-X20DYF-快换盘副盘-1;HFKL20手抓及快换盘组件2-7/M4x15组合-4/六角螺栓M4X15-1;HFKL20手抓及快换盘组件2-7/M4x15组合-4/普通平垫4-1;HFKL20手抓及快换盘组件2-7/M4x15组合-3/普通平垫4-1;HFKL20手抓及快换盘组件2-7/M4x15组合-3/弹簧垫圈4-1;HFKL20手抓及快换盘组件2-7/M4x15组合-4/弹簧垫圈4-1,gripper1joint,,gripper1_joint,fixed,-1.4451,-0.027929,0.063892,0,0,0,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper2_Link,-2.78949239196358E-05,4.70732295335119E-06,0.0644501908903875,0,0,0,0.222997856517824,0.000105819074488664,6.55959168284158E-08,1.69446753814684E-07,8.40960773268829E-05,-6.51867477483335E-09,9.54085169712E-05,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper2_Link.STL,,柔性夹爪组合-2,gripper2joint,,gripper2_joint,fixed,-1.169,0.16512,0.58407,3.1416,0,0,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper1coffeecup_Link,1.3695E-05,-0.00044996,0.080133,0,0,0,0.40294,0.00018148,2.7641E-07,2.0128E-07,0.00020779,1.385E-07,0.00010102,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1coffeecup_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1coffeecup_Link.STL,,HFKL20手抓及快换盘组件2-6/M4x15组合-1;HFKL20手抓及快换盘组件2-6/M4x15组合-2;HFKL20手抓及快换盘组件2-6/半夹爪头V2-1;HFKL20手抓及快换盘组件2-6/手指气缸转接盘-1;HFKL20手抓及快换盘组件2-6/_HFKL20_body-1;HFKL20手抓及快换盘组件2-6/_20(OP)_finger-2;HFKL20手抓及快换盘组件2-6/STW-X20DYF-快换盘副盘-1;HFKL20手抓及快换盘组件2-6/半夹爪头V2-2;HFKL20手抓及快换盘组件2-6/M4x15组合-4;HFKL20手抓及快换盘组件2-6/M4x15组合-3;HFKL20手抓及快换盘组件2-6/_20(OP)_finger-4;300ML一次性纸杯-2,gripper1coffeejoint,,gripper1coffeecup_joint,fixed,-1.264,-0.0023679,0.17654,1.5708,0,1.5708,pedestal_Link,0,0,0,,,,,,,,,,,,
gripper1milkcup_Link,0.0095079,-0.0029306,0.13135,0,0,0,1.0973,0.00066573,-3.8908E-06,-1.5041E-07,0.0004547,1.7199E-07,0.00058922,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1milkcup_Link.STL,1,1,0,1,0,0,0,0,0,0,package://咖啡机总装模型urdf4.2812/meshes/gripper1milkcup_Link.STL,,杯体组合-1/手柄右罩-1;杯体组合-1/350ML拉花杯V2-1;杯体组合-1/手柄左罩-1;HFKL20手抓及快换盘组件2-5/半夹爪头V2-1;HFKL20手抓及快换盘组件2-5/STW-X20DYF-快换盘副盘-1;HFKL20手抓及快换盘组件2-5/M4x15组合-1;HFKL20手抓及快换盘组件2-5/_20(OP)_finger-2;HFKL20手抓及快换盘组件2-5/_HFKL20_body-1;HFKL20手抓及快换盘组件2-5/M4x15组合-2;HFKL20手抓及快换盘组件2-5/手指气缸转接盘-1;HFKL20手抓及快换盘组件2-5/M4x15组合-4;HFKL20手抓及快换盘组件2-5/M4x15组合-3;HFKL20手抓及快换盘组件2-5/半夹爪头V2-2;HFKL20手抓及快换盘组件2-5/_20(OP)_finger-4,gripper1milkjoint,,gripper1milkcup_joint,fixed,-1.0253,-0.18528,0.0061549,2.2689,0,3.1416,pedestal_Link,0,0,0,,,,,,,,,,,,
