[0.000000] (-) TimerEvent: {}
[0.000826] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000862] (-) JobUnselected: {'identifier': 'moveit'}
[0.000873] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000880] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000887] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000893] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000899] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000906] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000912] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000918] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000924] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000930] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000936] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000942] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000948] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000954] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000960] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000965] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000971] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000978] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000984] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000993] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000999] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001005] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001011] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001017] (-) JobUnselected: {'identifier': 'run_move_group'}
[0.001023] (-) JobUnselected: {'identifier': 'run_moveit_cpp'}
[0.001029] (-) JobUnselected: {'identifier': 'run_ompl_constrained_planning'}
[0.001035] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001041] (-) EventReactorShutdown: {}
